Source Name	Material Type	Term Source REF	Term Accession Number	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[environment type]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Sample Name	Factor Value[region]
MAP DVS database, PubMed and Web of Science searches	literature search			punctulatus species complex	NCBITAXON	NCBITaxon:44541	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles punctulatus complex_Asia Pacific	Asia Pacific
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles farauti complex	NCBITAXON		anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles farauti complex_Asia Pacific	Asia Pacific
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles koliensis	NCBITAXON	NCBITaxon:30065	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles koliensis_Asia Pacific	Asia Pacific
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles latens	NCBITAXON	NCBITaxon:409347	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles latens_Asia Pacific	Asia Pacific
MAP DVS database, PubMed and Web of Science searches	literature search			leucosphyrus species complex	NCBITAXON	NCBITaxon:59123	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	leucosphyrus species complex_Asia Pacific	Asia Pacific
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles subpictus (Sp. B)	NCBITAXON		anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles subpictus Sp B_Asia Pacific	Asia Pacific
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles farauti	NCBITAXON	NCBITaxon:69004	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles farauti_Asia Pacific	Asia Pacific
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles punctulatus	NCBITAXON	NCBITaxon:30068	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles punctulatus_Asia Pacific	Asia Pacific
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles hinesorum	NCBITAXON	NCBITaxon:59189	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles hinesorum_Asia Pacific	Asia Pacific
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles farauti No. 4	NCBITAXON	NCBITaxon:59191	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles farauti No 4_Asia Pacific	Asia Pacific
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles farauti (No. 8)	NCBITAXON		anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles farauti No 8_Asia Pacific	Asia Pacific
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles fluviatilis U	NCBITAXON	NCBITaxon:175248	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles fluviatilis U_Asia Pacific	Asia Pacific
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles annularis A	NCBITAXON	NCBITaxon:382438	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles annularis A_Asia Pacific	Asia Pacific
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles culicifacies E	NCBITAXON	NCBITaxon:216373	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles culicifacies E_Asia Pacific	Asia Pacific
