Sample Name	Protocol REF	Protocol REF	Assay Name	Raw Data File	Comment [Data Repository]	Comment [Data Record Accession]	Comment [Data Record URI]	Factor Value[region]
Anopheles maculatus group_Asia Pacific	Site geo-positioning	Bionomics datasets	Maculatus Group_Asia Pacific	Bionomics Asia-Pacific.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Asia Pacific
minimus species complex_Asia Pacific	Site geo-positioning	Bionomics datasets	Anopheles minimus complex_Asia Pacific	Bionomics Asia-Pacific.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Asia Pacific
fluviatilis species complex_Asia Pacific	Site geo-positioning	Bionomics datasets	Anopheles fluviatilis complex_Asia Pacific	Bionomics Asia-Pacific.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Asia Pacific
barbirostris group_Asia Pacific	Site geo-positioning	Bionomics datasets	barbirostris group_Asia Pacific	Bionomics Asia-Pacific.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Asia Pacific
Anopheles maculatus_Asia Pacific	Site geo-positioning	Bionomics datasets	Anopheles maculatus_Asia Pacific	Bionomics Asia-Pacific.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Asia Pacific
Anopheles barbirostris_Asia Pacific	Site geo-positioning	Bionomics datasets	Anopheles barbirostris_Asia Pacific	Bionomics Asia-Pacific.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Asia Pacific
Anopheles flavirostris_Asia Pacific	Site geo-positioning	Bionomics datasets	Anopheles flavirostris_Asia Pacific	Bionomics Asia-Pacific.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Asia Pacific
Anopheles sundaicus_Asia Pacific	Site geo-positioning	Bionomics datasets	Anopheles sundaicus_Asia Pacific	Bionomics Asia-Pacific.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Asia Pacific
sundaicus species complex_Asia Pacific	Site geo-positioning	Bionomics datasets	Anopheles sundaicus complex_Asia Pacific	Bionomics Asia-Pacific.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Asia Pacific
Anopheles sinensis_Asia Pacific	Site geo-positioning	Bionomics datasets	Anopheles sinensis_Asia Pacific	Bionomics Asia-Pacific.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Asia Pacific
Anopheles harrisoni_Asia Pacific	Site geo-positioning	Bionomics datasets	Anopheles harrisoni (formerly minimus Sp. C)_Asia Pacific	Bionomics Asia-Pacific.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Asia Pacific
Anopheles dirus_Asia Pacific	Site geo-positioning	Bionomics datasets	Anopheles dirus (formerly Sp. A)_Asia Pacific	Bionomics Asia-Pacific.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Asia Pacific
Anopheles minimus_Asia Pacific	Site geo-positioning	Bionomics datasets	Anopheles minimus (formerly Sp. A)_Asia Pacific	Bionomics Asia-Pacific.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Asia Pacific
Anopheles balabacensis_Asia Pacific	Site geo-positioning	Bionomics datasets	Anopheles balabacensis (leucosphyrus)_Asia Pacific	Bionomics Asia-Pacific.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Asia Pacific
Anopheles stephensi_Asia Pacific	Site geo-positioning	Bionomics datasets	Anopheles stephensi_Asia Pacific	Bionomics Asia-Pacific.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Asia Pacific
Anopheles lesteri_Asia Pacific	Site geo-positioning	Bionomics datasets	Anopheles lesteri_Asia Pacific	Bionomics Asia-Pacific.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Asia Pacific
